"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.96","42.28","WINDSOR A","6139525","1985-01-01","1985","01","01","","4.0","","-4.2","","-0.1","","18.1","","0.0","","34.8","","0.0","","34.8","","0","","28","","48",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-02","1985","01","02","","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-03","1985","01","03","","-3.0","","-8.9","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-04","1985","01","04","","2.3","","-9.9","","-3.8","","21.8","","0.0","","0.0","T","0.0","","0.0","T","0","","33","","37",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-05","1985","01","05","","0.8","","-1.9","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-06","1985","01","06","","1.2","","-1.9","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","0","","21","","35",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-07","1985","01","07","","1.0","","-4.7","","-1.9","","19.9","","0.0","","0.0","T","0.2","","0.2","","0","T","30","","59",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-08","1985","01","08","","-4.5","","-11.9","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","41",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-09","1985","01","09","","-6.0","","-13.1","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-10","1985","01","10","","-5.3","","-7.6","","-6.5","","24.5","","0.0","","0.0","","9.6","","9.2","","0","T","4","","37",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-11","1985","01","11","","-3.9","","-8.6","","-6.3","","24.3","","0.0","","0.0","","0.6","","0.4","","9","","29","","46",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-12","1985","01","12","","0.0","","-7.3","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","7","","24","","43",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-13","1985","01","13","","-3.3","","-9.2","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","5","","22","","43",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-14","1985","01","14","","-0.8","","-9.7","","-5.3","","23.3","","0.0","","0.0","T","3.0","","2.4","","4","","31","","63",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-15","1985","01","15","","-8.4","","-14.6","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","5","","30","","46",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-16","1985","01","16","","-6.0","","-16.4","","-11.2","","29.2","","0.0","","0.0","","6.4","","4.6","","4","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-17","1985","01","17","","-2.3","","-7.3","","-4.8","","22.8","","0.0","","0.0","T","4.2","","4.2","","14","","27","","35",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-18","1985","01","18","","-4.0","","-9.8","","-6.9","","24.9","","0.0","","0.0","","6.0","","5.2","","14","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-19","1985","01","19","","-5.4","","-17.2","","-11.3","","29.3","","0.0","","0.0","","1.4","","0.8","","17","","24","","50",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-20","1985","01","20","","-16.2","","-25.5","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","12","","28","","61",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-21","1985","01","21","","-7.1","","-23.4","","-15.3","","33.3","","0.0","","0.0","","0.4","","0.6","","7","","24","","50",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-22","1985","01","22","","-3.5","","-8.2","","-5.9","","23.9","","0.0","","0.0","","0.2","","0.2","","7","","24","","52",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-23","1985","01","23","","-4.6","","-8.1","","-6.4","","24.4","","0.0","","0.0","","0.4","","0.4","","7","","22","","50",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-24","1985","01","24","","-2.2","","-5.1","","-3.7","","21.7","","0.0","","0.0","","5.6","","4.6","","9","","25","","37",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-25","1985","01","25","","-3.0","","-10.9","","-7.0","","25.0","","0.0","","0.0","","7.4","","7.6","","13","","35","","67",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-26","1985","01","26","","-5.3","","-12.0","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","7","","33","","43",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-27","1985","01","27","","-2.5","","-10.5","","-6.5","","24.5","","0.0","","0.0","","0.2","","0.0","T","7","","23","","44",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-28","1985","01","28","","-2.6","","-5.7","","-4.2","","22.2","","0.0","","0.0","","0.2","","0.0","T","6","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-29","1985","01","29","","-4.1","","-7.0","","-5.6","","23.6","","0.0","","0.0","","0.4","","0.2","","5","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-30","1985","01","30","","-3.1","","-7.8","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-01-31","1985","01","31","","-1.1","","-8.4","","-4.8","","22.8","","0.0","","0.0","","4.4","","3.2","","8","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-01","1985","02","01","","-8.4","","-16.3","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-02","1985","02","02","","-10.6","","-17.0","","-13.8","","31.8","","0.0","","0.0","","0.6","","0.8","","5","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-03","1985","02","03","","-9.5","","-20.2","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-04","1985","02","04","","-6.7","","-17.9","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-05","1985","02","05","","-5.9","","-13.2","","-9.6","","27.6","","0.0","","0.0","","6.2","","4.2","","6","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-06","1985","02","06","","-4.9","","-11.1","","-8.0","","26.0","","0.0","","0.0","","1.2","","0.6","","11","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-07","1985","02","07","","-6.4","","-14.5","","-10.5","","28.5","","0.0","","0.0","","2.2","","0.4","","11","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-08","1985","02","08","","-7.3","","-17.7","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","12","","30","","43",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-09","1985","02","09","","-3.3","","-14.8","","-9.1","","27.1","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-10","1985","02","10","","-4.5","","-13.4","","-9.0","","27.0","","0.0","","0.0","","3.8","","3.8","","8","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-11","1985","02","11","","2.0","","-5.4","","-1.7","","19.7","","0.0","","5.6","","6.4","","12.8","","14","","13","","39",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-12","1985","02","12","","1.3","","0.2","","0.8","","17.2","","0.0","","0.4","","31.0","","34.0","","9","","2","","52",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-13","1985","02","13","","0.9","","-6.1","","-2.6","","20.6","","0.0","","0.0","","6.0","","5.4","","20","","30","","48",""
"-82.96","42.28","WINDSOR A","6139525","1985-02-14","1985","02","14","","-4.3","","-8.8","","-6.6","","24.6","","0.0","","0.0","","2.4","","2.0","","24","","26","","37",""
