"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.96","42.28","WINDSOR A","6139525","1982-01-01","1982","01","01","","2.5","","-7.2","","-2.4","","20.4","","0.0","","0.2","","0.0","T","0.2","","15","","25","","52",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-02","1982","01","02","","1.7","","-11.2","","-4.8","","22.8","","0.0","","0.0","T","0.0","T","0.0","T","15","","11","","46",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-03","1982","01","03","","4.0","","0.9","","2.5","","15.5","","0.0","","5.2","","0.2","","5.6","","14","","9","","41",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-04","1982","01","04","","7.1","","-4.3","","1.4","","16.6","","0.0","","3.5","","2.6","","5.3","","9","","23","","102",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-05","1982","01","05","","0.6","","-4.9","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","9","","28","","72",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-06","1982","01","06","","2.2","","-3.5","","-0.7","","18.7","","0.0","","0.0","","2.0","","1.2","","7","","34","","33",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-07","1982","01","07","","-2.5","","-11.3","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","7","","30","","39",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-08","1982","01","08","","-5.5","","-14.2","","-9.9","","27.9","","0.0","","0.0","","1.2","","0.4","","6","","24","","59",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-09","1982","01","09","","-9.7","","-17.7","","-13.7","","31.7","","0.0","","0.0","","1.2","","0.4","","6","","31","","39",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-10","1982","01","10","","-15.0","","-22.8","","-18.9","","36.9","","0.0","","0.0","","0.0","T","0.0","T","5","","25","","80",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-11","1982","01","11","","-12.1","","-21.0","","-16.6","","34.6","","0.0","","0.0","","0.2","","0.0","T","5","","25","","69",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-12","1982","01","12","","-8.2","","-12.8","","-10.5","","28.5","","0.0","","0.0","","1.8","","1.4","","4","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-13","1982","01","13","","-6.8","","-10.7","","-8.8","","26.8","","0.0","","0.0","","6.0","","5.5","","9","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-14","1982","01","14","","-6.0","","-11.5","","-8.8","","26.8","","0.0","","0.0","","3.4","","1.6","","11","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-15","1982","01","15","","-7.8","","-16.3","","-12.1","","30.1","","0.0","","0.0","","0.8","","1.0","","13","","","","<31",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-16","1982","01","16","","-5.7","","-23.0","","-14.4","","32.4","","0.0","","0.0","","3.8","","3.0","","16","","29","","70",""
"-82.96","42.28","WINDSOR A","6139525","1982-01-17","1982","01","17","","-18.3","","-25.7","","-22.0","","40.0","","0.0","","0.0","","2.4","","1.2","","7","","24","","43",""
