"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-01","1997","01","01","","-1.9","","-4.5","","-3.2","","21.2","","0.0","","0.0","","2.0","","2.0","","","","12","","32",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-02","1997","01","02","","1.8","","-3.3","","-0.8","","18.8","","0.0","","0.0","","2.5","","2.5","","","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-03","1997","01","03","","","M","-12.0","","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-04","1997","01","04","","-10.2","","-15.7","","-13.0","","31.0","","0.0","","0.0","","2.0","","2.0","","","","3","","33",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-05","1997","01","05","","-11.3","","-15.7","","-13.5","","31.5","","0.0","","0.0","","6.0","","6.0","","","","34","","48",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-06","1997","01","06","","-12.7","","-16.9","","-14.8","","32.8","","0.0","","","M","","M","","M","","","31","","44",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-07","1997","01","07","","-12.8","","-25.7","","-19.3","","37.3","","0.0","","","M","","M","","M","","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-08","1997","01","08","","-4.9","","-19.7","","-12.3","","30.3","","0.0","","0.0","","2.0","","2.0","","","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-09","1997","01","09","","-3.5","","-7.3","","-5.4","","23.4","","0.0","","0.0","","1.0","","1.0","","","","","","<31",""
"-89.33","48.37","THUNDER BAY A","6048261","1997-01-10","1997","01","10","","-7.1","","-16.3","","-11.7","","29.7","","0.0","","","M","","M","","M","","","33","","48",""
