"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","1982-01-01","1982","01","01","","-0.2","","-23.6","","-11.9","","29.9","","0.0","","0.0","","13.0","","11.0","","27","","18","","43",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-02","1982","01","02","","-13.8","","-26.2","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","32","","10","","50",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-03","1982","01","03","","0.0","","-14.1","","-7.1","","25.1","","0.0","","0.0","T","3.2","","2.4","","28","","17","","57",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-04","1982","01","04","","-4.2","","-17.3","","-10.8","","28.8","","0.0","","0.0","","34.9","","29.3","","29","","1","","72",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-05","1982","01","05","","-13.6","","-20.5","","-17.1","","35.1","","0.0","","0.0","","0.0","T","0.0","T","53","","35","","56",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-06","1982","01","06","","-4.5","","-13.6","","-9.1","","27.1","","0.0","","0.0","T","0.0","T","0.0","T","52","","26","","43",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-07","1982","01","07","","-12.9","","-25.6","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","49","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-08","1982","01","08","","-18.2","","-27.1","","-22.7","","40.7","","0.0","","0.0","","1.8","","1.8","","47","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-09","1982","01","09","","-22.4","","-36.2","","-29.3","","47.3","","0.0","","0.0","","0.5","","0.5","","50","","35","","41",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-10","1982","01","10","","-17.4","","-39.3","","-28.4","","46.4","","0.0","","0.0","","8.9","","5.6","","50","","32","","70",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-11","1982","01","11","","-22.0","","-30.8","","-26.4","","44.4","","0.0","","0.0","","0.5","","0.2","","60","","34","","65",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-12","1982","01","12","","-19.2","","-32.4","","-25.8","","43.8","","0.0","","0.0","","5.7","","4.6","","58","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-13","1982","01","13","","-15.6","","-22.4","","-19.0","","37.0","","0.0","","0.0","","1.6","","0.9","","63","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-14","1982","01","14","","-13.0","","-21.9","","-17.5","","35.5","","0.0","","0.0","","0.0","T","0.0","T","64","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-15","1982","01","15","","-8.7","","-25.1","","-16.9","","34.9","","0.0","","0.0","","1.0","","0.6","","63","","18","","41",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-16","1982","01","16","","-7.7","","-33.3","","-20.5","","38.5","","0.0","","0.0","","6.6","","5.2","","67","","32","","61",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-17","1982","01","17","","-29.0","","-35.6","","-32.3","","50.3","","0.0","","0.0","","0.0","","0.0","","69","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-18","1982","01","18","","-19.9","","-36.2","","-28.1","","46.1","","0.0","","0.0","","0.0","T","0.0","T","59","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-19","1982","01","19","","-9.1","","-28.4","","-18.8","","36.8","","0.0","","0.0","","0.4","","0.4","","55","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-20","1982","01","20","","-8.1","","-24.4","","-16.3","","34.3","","0.0","","0.0","","0.0","T","0.0","T","55","","34","","48",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-21","1982","01","21","","-21.8","","-28.9","","-25.4","","43.4","","0.0","","0.0","","0.0","","0.0","","54","","5","","39",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-22","1982","01","22","","-17.0","","-30.3","","-23.7","","41.7","","0.0","","0.0","","0.0","","0.0","","54","","9","","46",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-23","1982","01","23","","-3.6","","-17.7","","-10.7","","28.7","","0.0","","0.0","T","15.0","","9.9","","56","","10","","61",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-24","1982","01","24","","-9.7","","-27.5","","-18.6","","36.6","","0.0","","0.0","","3.4","","2.4","","63","","36","","41",""
"-80.80","46.63","SUDBURY A","6068150","1982-01-25","1982","01","25","","-19.8","","-31.3","","-25.6","","43.6","","0.0","","0.0","","0.0","T","0.0","T","62","","","","<31",""
