"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","2006-01-01","2006","01","01","","-7.3","","-13.4","","-10.4","","28.4","","0.0","","0.0","T","0.4","","0.4","","12","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-02","2006","01","02","","-4.2","","-12.4","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-03","2006","01","03","","-0.7","","-5.9","","-3.3","","21.3","","0.0","","0.0","T","0.0","T","0.0","T","12","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-04","2006","01","04","","0.1","","-1.9","","-0.9","","18.9","","0.0","","1.0","","15.4","","14.2","","12","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-05","2006","01","05","","-0.5","","-14.2","","-7.4","","25.4","","0.0","","0.0","","0.6","","0.4","","25","","35","","33",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-06","2006","01","06","","-13.0","","-19.4","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-07","2006","01","07","","-9.0","","-19.0","","-14.0","","32.0","","0.0","","0.0","","4.1","","3.0","","18","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-08","2006","01","08","","-7.6","","-15.5","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","19","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-09","2006","01","09","","-3.6","","-8.3","","-6.0","","24.0","","0.0","","0.0","","1.2","","1.2","","20","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-10","2006","01","10","","-1.0","","-9.2","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","18","","24","","44",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-11","2006","01","11","","0.2","","-2.6","","-1.2","","19.2","","0.0","","2.0","","4.0","","6.2","","17","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-12","2006","01","12","","2.3","","-0.1","","1.1","","16.9","","0.0","","0.0","T","0.0","","0.0","T","17","","21","","37",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-13","2006","01","13","","2.2","","-4.8","","-1.3","","19.3","","0.0","","3.8","","5.8","","9.6","","12","","36","","46",""
"-80.80","46.63","SUDBURY A","6068150","2006-01-14","2006","01","14","","-4.8","","-16.2","","-10.5","","28.5","","0.0","","0.0","","0.4","","0.4","","16","","36","","52",""
