"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","1983-01-01","1983","01","01","","-0.1","","-10.4","","-5.3","","23.3","","0.0","","0.0","","1.1","","0.4","","4","","22","","54",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-02","1983","01","02","","-9.6","","-16.3","","-13.0","","31.0","","0.0","","0.0","","1.0","","0.6","","5","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-03","1983","01","03","","-12.5","","-24.7","","-18.6","","36.6","","0.0","","0.0","","0.0","T","0.0","T","5","","34","","31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-04","1983","01","04","","0.4","","-25.8","","-12.7","","30.7","","0.0","","0.0","","0.5","","0.2","","5","","18","","59",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-05","1983","01","05","","0.3","","-2.6","","-1.2","","19.2","","0.0","","0.0","T","0.0","T","0.0","T","5","","24","","41",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-06","1983","01","06","","0.0","","-3.1","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"-80.80","46.63","SUDBURY A","6068150","1983-01-07","1983","01","07","","-1.8","","-15.4","","-8.6","","26.6","","0.0","","0.0","","14.4","","11.2","","12","","34","","67",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-08","1983","01","08","","-12.2","","-19.6","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-09","1983","01","09","","-7.4","","-18.4","","-12.9","","30.9","","0.0","","0.0","","0.4","","0.2","","12","","","M","","M"
"-80.80","46.63","SUDBURY A","6068150","1983-01-10","1983","01","10","","2.4","","-10.0","","-3.8","","21.8","","0.0","","14.4","","1.5","","15.9","","12","","18","","44",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-11","1983","01","11","","2.0","","-18.5","","-8.3","","26.3","","0.0","","1.0","","5.6","","9.9","","4","","36","","72",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-12","1983","01","12","","-17.4","","-25.4","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","4","","36","","52",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-13","1983","01","13","","-9.9","","-19.4","","-14.7","","32.7","","0.0","","0.0","","3.7","","1.4","","5","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-14","1983","01","14","","-12.2","","-18.2","","-15.2","","33.2","","0.0","","0.0","","0.4","","0.2","","8","","4","","57",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-15","1983","01","15","","-14.9","","-22.8","","-18.9","","36.9","","0.0","","0.0","","0.0","T","0.0","T","8","","2","","57",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-16","1983","01","16","","-17.2","","-22.6","","-19.9","","37.9","","0.0","","0.0","","0.2","","0.0","T","6","","1","","39",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-17","1983","01","17","","-18.4","","-23.3","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","6","","33","","37",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-18","1983","01","18","","-17.9","","-25.6","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","6","","32","","46",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-19","1983","01","19","","-15.1","","-25.7","","-20.4","","38.4","","0.0","","0.0","","0.0","","0.0","","6","","35","","33",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-20","1983","01","20","","-7.0","","-21.4","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-21","1983","01","21","","-7.2","","-15.4","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-22","1983","01","22","","-2.5","","-13.4","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-23","1983","01","23","","-1.3","","-4.3","","-2.8","","20.8","","0.0","","0.0","T","6.0","","4.3","","7","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-24","1983","01","24","","-0.9","","-4.4","","-2.7","","20.7","","0.0","","0.0","","1.6","","1.0","","10","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-25","1983","01","25","","-2.5","","-23.1","","-12.8","","30.8","","0.0","","0.0","","2.0","","0.8","","13","","28","","39",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-26","1983","01","26","","-10.4","","-25.6","","-18.0","","36.0","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-27","1983","01","27","","-7.6","","-18.5","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-28","1983","01","28","","-3.5","","-11.7","","-7.6","","25.6","","0.0","","0.0","T","0.8","","0.4","","13","","19","","39",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-29","1983","01","29","","-0.6","","-4.1","","-2.4","","20.4","","0.0","","0.0","T","0.0","","0.0","T","13","","19","","37",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-30","1983","01","30","","0.2","","-2.4","","-1.1","","19.1","","0.0","","0.0","","12.9","","10.3","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-01-31","1983","01","31","","-0.3","","-16.6","","-8.5","","26.5","","0.0","","0.0","","3.0","","1.6","","21","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-02-01","1983","02","01","","-10.2","","-19.0","","-14.6","","32.6","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1983-02-02","1983","02","02","","-7.0","","-13.9","","-10.5","","28.5","","0.0","","0.0","T","11.0","","12.7","","22","","3","","56",""
"-80.80","46.63","SUDBURY A","6068150","1983-02-03","1983","02","03","","-7.5","","-17.8","","-12.7","","30.7","","0.0","","0.0","T","4.6","","3.1","","31","","1","","52",""
"-80.80","46.63","SUDBURY A","6068150","1983-02-04","1983","02","04","","-14.5","","-22.5","","-18.5","","36.5","","0.0","","0.0","","0.6","","0.6","","36","","36","","50",""
