"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","2001-01-01","2001","01","01","","-14.1","","-21.1","","-17.6","","35.6","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-02","2001","01","02","","-5.0","","-20.9","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-03","2001","01","03","","-5.5","","-12.5","","-9.0","","27.0","","0.0","","0.0","","2.2","","1.0","","29","","19","","32",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-04","2001","01","04","","-6.2","","-13.4","","-9.8","","27.8","","0.0","","0.0","T","3.2","","2.8","","31","","15","","37",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-05","2001","01","05","","-1.3","","-14.0","","-7.7","","25.7","","0.0","","0.0","","6.8","","5.2","","36","","35","","57",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-06","2001","01","06","","-14.0","","-18.5","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","36","","35","","33",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-07","2001","01","07","","-16.0","","-18.1","","-17.1","","35.1","","0.0","","0.0","","2.6","","2.2","","36","","3","","37",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-08","2001","01","08","","-14.4","","-22.3","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","35","","36","","33",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-09","2001","01","09","","-7.2","","-23.0","","-15.1","","33.1","","0.0","","0.0","","3.2","","2.2","","35","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-10","2001","01","10","","-1.2","","-14.4","","-7.8","","25.8","","0.0","","0.0","","0.2","","0.2","","37","","23","","35",""
"-80.80","46.63","SUDBURY A","6068150","2001-01-11","2001","01","11","","0.0","","-11.9","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","35","","32","","41",""
