"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","1991-01-01","1991","01","01","","-2.5","","-13.4","","-8.0","","26.0","","0.0","","0.0","","2.4","","2.0","","9","","20","","48",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-02","1991","01","02","","-4.6","","-17.8","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","10","","29","","37",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-03","1991","01","03","","-9.3","","-16.3","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-04","1991","01","04","","-8.6","","-14.5","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","10","","24","","48",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-05","1991","01","05","","-6.1","","-10.9","","-8.5","","26.5","","0.0","","0.0","","1.8","","1.8","","10","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-06","1991","01","06","","-9.2","","-18.8","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-07","1991","01","07","","-18.7","","-26.3","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-08","1991","01","08","","-13.6","","-25.7","","-19.7","","37.7","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-09","1991","01","09","","-6.2","","-19.8","","-13.0","","31.0","","0.0","","0.4","","0.4","","0.8","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-10","1991","01","10","","-17.5","","-25.5","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-11","1991","01","11","","-14.4","","-22.1","","-18.3","","36.3","","0.0","","0.0","","3.2","","2.6","","11","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-12","1991","01","12","","-10.1","","-16.6","","-13.4","","31.4","","0.0","","0.0","","2.6","","2.2","","17","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-13","1991","01","13","","-2.9","","-19.5","","-11.2","","29.2","","0.0","","0.0","","0.0","T","0.0","T","17","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-14","1991","01","14","","-0.6","","-3.0","","-1.8","","19.8","","0.0","","0.0","T","8.4","","7.0","","18","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-15","1991","01","15","","-0.5","","-2.9","","-1.7","","19.7","","0.0","","0.0","T","0.0","","0.0","T","19","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-16","1991","01","16","","-0.4","","-2.9","","-1.7","","19.7","","0.0","","0.0","T","5.2","","4.6","","19","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-17","1991","01","17","","-1.7","","-5.0","","-3.4","","21.4","","0.0","","0.0","","1.4","","1.2","","22","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-18","1991","01","18","","-3.9","","-15.1","","-9.5","","27.5","","0.0","","0.0","","0.8","","0.8","","23","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-19","1991","01","19","","1.7","","-12.9","","-5.6","","23.6","","0.0","","0.0","","1.8","","1.6","","23","","32","","41",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-20","1991","01","20","","-2.0","","-25.4","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","24","","34","","50",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-21","1991","01","21","","-18.1","","-28.5","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-22","1991","01","22","","-7.7","","-26.6","","-17.2","","35.2","","0.0","","0.0","","3.4","","2.8","","24","","18","","56",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-23","1991","01","23","","-2.6","","-19.9","","-11.3","","29.3","","0.0","","0.0","","7.0","","6.0","","31","","20","","57",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-24","1991","01","24","","-19.8","","-27.3","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","34","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-25","1991","01","25","","-15.9","","-29.9","","-22.9","","40.9","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-26","1991","01","26","","-7.6","","-18.2","","-12.9","","30.9","","0.0","","0.0","","2.6","","2.0","","34","","23","","41",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-27","1991","01","27","","-4.3","","-14.3","","-9.3","","27.3","","0.0","","0.0","","11.0","","7.2","","34","","22","","59",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-28","1991","01","28","","-2.5","","-19.9","","-11.2","","29.2","","0.0","","0.0","","5.8","","5.4","","45","","24","","63",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-29","1991","01","29","","-12.7","","-26.1","","-19.4","","37.4","","0.0","","0.0","","2.0","","1.8","","47","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1991-01-30","1991","01","30","","-14.4","","-23.7","","-19.1","","37.1","","0.0","","0.0","","0.0","T","0.0","T","49","","","","<31",""
