"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.80","46.63","SUDBURY A","6068150","1984-01-01","1984","01","01","","-9.1","","-20.7","","-14.9","","32.9","","0.0","","0.0","","5.0","","3.0","","50","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-02","1984","01","02","","-4.6","","-10.5","","-7.6","","25.6","","0.0","","0.0","","1.8","","1.2","","51","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-03","1984","01","03","","-0.1","","-5.3","","-2.7","","20.7","","0.0","","0.0","","4.6","","4.8","","50","","21","","59",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-04","1984","01","04","","1.4","","-14.0","","-6.3","","24.3","","0.0","","0.0","","0.6","","0.4","","52","","2","","44",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-05","1984","01","05","","-2.0","","-15.6","","-8.8","","26.8","","0.0","","0.2","","5.8","","4.2","","52","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-06","1984","01","06","","-1.5","","-26.1","","-13.8","","31.8","","0.0","","0.0","T","2.0","","1.2","","45","","1","","44",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-07","1984","01","07","","-18.8","","-28.8","","-23.8","","41.8","","0.0","","0.0","","0.8","","0.6","","36","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-08","1984","01","08","","-11.0","","-25.4","","-18.2","","36.2","","0.0","","0.0","","6.8","","4.6","","41","","","M","","M"
"-80.80","46.63","SUDBURY A","6068150","1984-01-09","1984","01","09","","-19.9","","-30.1","","-25.0","","43.0","","0.0","","0.0","","0.2","","0.0","T","41","","","","<31",""
"-80.80","46.63","SUDBURY A","6068150","1984-01-10","1984","01","10","","-17.5","","-30.5","","-24.0","","42.0","","0.0","","0.0","","1.8","","1.2","","41","","36","","35",""
