city,source_file,source_row,date,station_id,tmax,tmin,tmean,rain_mm,snowfall_cm,precip_mm,tmean_analysis,tmean_derived,quality_notes,winter_year,year,month,is_winter,in_study_period,snow_day,very_cold_day,mean_temp,temp_anomaly,snowfall_total_cm,snow_days,days_below_m20,baseline_mean_temp,baseline_n_winters,baseline_status,winter_label,temperature_pass,snowfall_pass,cold_days_pass,enso_index,enso_value,enso_class,strong_el_nino,oni_djf,roni_djf,enso_class_oni,enso_class_roni,strong_el_nino_oni,strong_el_nino_roni,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
windsor,windsor_daily.csv,28,1981-01-27,4716,3,-1.4,0.8,0,0.2,0.2,0.8,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,29,1981-01-28,4716,-1.2,-5.2,-3.2,0,2.4,2.2,-3.2,False,,1981,1981,1,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,30,1981-01-29,4716,-2.4,-8.5,-5.5,0,0,0,-5.5,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,31,1981-01-30,4716,-4.6,-12.3,-8.5,0,0,0,-8.5,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,32,1981-01-31,4716,-3.7,-13.6,-8.7,0,0,0,-8.7,False,,1981,1981,1,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,33,1981-02-01,4716,2,-4.6,-1.3,8.2,4.6,12.8,-1.3,False,,1981,1981,2,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,34,1981-02-02,4716,-1.2,-15.3,-8.3,0,1.6,1.4,-8.3,False,,1981,1981,2,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,35,1981-02-03,4716,-12.4,-17,-14.7,0,0,0,-14.7,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,36,1981-02-04,4716,-10.1,-14.7,-12.4,0,0,0,-12.4,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,37,1981-02-05,4716,-6.7,-14.8,-10.8,0,0,0,-10.8,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,38,1981-02-06,4716,-1.4,-7,-4.2,0,3,1.2,-4.2,False,,1981,1981,2,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
