city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
ottawa,ONI,El Nino,mean_temp,degrees C,15,15,-7.511043549,-7.183333333,2.031329253,-11.13777778,-4.065934066,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Ottawa,East,45.32,True,True
ottawa,ONI,El Nino,temp_anomaly,degrees C,15,15,0.3122092894,0.6399195051,2.031329253,-3.314524939,3.757318772,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Ottawa,East,45.32,True,True
ottawa,ONI,El Nino,snowfall_total_cm,cm,15,15,136.2133333,130.2,34.24416252,85.2,197.6,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Ottawa,East,45.32,True,True
ottawa,ONI,El Nino,snow_days,days,15,15,26.8,26,4.538722287,19,35,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Ottawa,East,45.32,True,True
ottawa,ONI,El Nino,days_below_m20,days,15,15,14.2,14,8.743977519,0,36,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020,2024",Ottawa,East,45.32,True,True
ottawa,ONI,Strong El Nino,mean_temp,degrees C,6,6,-6.239973545,-6.166111111,1.925474933,-9.68021978,-4.065934066,"1983,1992,1998,2010,2016,2024",Ottawa,East,45.32,True,True
ottawa,ONI,Strong El Nino,temp_anomaly,degrees C,6,6,1.583279293,1.657141727,1.925474933,-1.856966942,3.757318772,"1983,1992,1998,2010,2016,2024",Ottawa,East,45.32,True,True
ottawa,ONI,Strong El Nino,snowfall_total_cm,cm,6,6,131.3666667,126.2,39.84342689,85.2,191.8,"1983,1992,1998,2010,2016,2024",Ottawa,East,45.32,True,True
ottawa,ONI,Strong El Nino,snow_days,days,6,6,24.66666667,25,4.633213428,19,31,"1983,1992,1998,2010,2016,2024",Ottawa,East,45.32,True,True
ottawa,ONI,Strong El Nino,days_below_m20,days,6,6,8.666666667,7,6.801960502,0,19,"1983,1992,1998,2010,2016,2024",Ottawa,East,45.32,True,True
sudbury,ONI,La Nina,mean_temp,degrees C,17,14,-10.90235934,-11.41308365,1.62347915,-13.10769231,-7.654945055,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022",Sudbury,Northeast,46.63,False,True
sudbury,ONI,La Nina,temp_anomaly,degrees C,17,14,-0.3645591074,-0.8752834081,1.62347915,-2.56989207,2.882855182,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022",Sudbury,Northeast,46.63,False,True
sudbury,ONI,La Nina,snowfall_total_cm,cm,17,13,194.0692308,185.8,35.90701846,158,277.8,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022",Sudbury,Northeast,46.63,False,True
sudbury,ONI,La Nina,snow_days,days,17,13,36.53846154,36,6.091187413,27,49,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2022",Sudbury,Northeast,46.63,False,True
sudbury,ONI,La Nina,days_below_m20,days,17,11,26,22,10.45944549,11,43,"1984,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Neutral,mean_temp,degrees C,13,12,-11.45201755,-11.7157095,2.501985704,-15.45813953,-7.002222222,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Neutral,temp_anomaly,degrees C,13,12,-0.9142173092,-1.177909267,2.501985704,-4.920339298,3.535578015,"1982,1986,1990,1991,1994,1997,2002,2004,2013,2014,2017,2026",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Neutral,snowfall_total_cm,cm,13,10,195.37,183.65,36.75788804,152,273.9,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017",Sudbury,Northeast,46.63,False,True
