"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-01","1990","01","01","","2.3","","-12.3","","-5.0","","23.0","","0.0","","0.0","","0.4","","0.2","","27","","28","","63",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-02","1990","01","02","","-1.3","","-12.2","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","27","","23","","52",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-03","1990","01","03","","3.4","","-4.2","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","23","","19","","33",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-04","1990","01","04","","4.0","","-1.0","","1.5","","16.5","","0.0","","8.4","","0.0","T","8.4","","17","","27","","50",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-05","1990","01","05","","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","11","","28","","39",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-06","1990","01","06","","-2.0","","-14.6","","-8.3","","26.3","","0.0","","0.0","","1.0","","1.4","","11","","27","","48",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-07","1990","01","07","","0.9","","-13.9","","-6.5","","24.5","","0.0","","0.0","","1.0","","0.8","","11","","","","<31",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-08","1990","01","08","","2.0","","-4.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-09","1990","01","09","","3.3","","-6.9","","-1.8","","19.8","","0.0","","1.8","","0.0","T","1.8","","9","","","","<31",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-10","1990","01","10","","1.1","","-8.4","","-3.7","","21.7","","0.0","","0.0","","3.0","","2.8","","9","","32","","31",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-11","1990","01","11","","0.8","","-10.2","","-4.7","","22.7","","0.0","","0.0","T","9.0","","8.4","","10","","21","","33",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-12","1990","01","12","","-0.4","","-10.5","","-5.5","","23.5","","0.0","","0.0","","1.8","","1.8","","15","","27","","46",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-13","1990","01","13","","-10.5","","-20.5","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","16","","28","","44",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-14","1990","01","14","","-16.1","","-23.7","","-19.9","","37.9","","0.0","","0.0","","1.4","","1.0","","15","","","","<31",""
"-75.67","45.32","OTTAWA MACDONALD-CARTIER INT'L A","6106000","1990-01-15","1990","01","15","","-9.8","","-16.8","","-13.3","","31.3","","0.0","","0.0","","3.2","","3.0","","16","","5","","31",""
